# {
#   "profile": "Insectendoos Specimen Import",
#   "version": "1.0",
#   "delimiter": ";",
#   "ignoreEmptyRows": true,
#   "isConfidential": false,
#   "steps": [
#     {
#       "step": 1,
#       "target": "parent_object",
#       "contextKey": "DoosId",
#       "labelTemplate": "Insectendoos: {0}",
#       "objectTypeId": "019fcd20-b442-755f-af50-9cdf9716990d",
#       "parameters": [
#         { "parameterId": "019fc74c-cf8c-74ff-a3b6-b6d21c651a19", "column": 1 }
#       ]
#     },
#     {
#       "step": 2,
#       "target": "child_object",
#       "labelTemplate": "Specimen groep: {2} {3}",
#       "objectTypeId": "019fcd20-b56f-76ae-9bf0-f98a0354b7ca",
#       "relations": [
#         { 
#           "relationTypeId": "019fad01-ca30-769d-8c9c-6fc70fa9db0a", 
#           "relatedContextKey": "DoosId", 
#           "direction": "outgoing" 
#         }
#       ],
#       "parameters": [
#         { "parameterId": "019fad6f-c149-7795-b3e5-751c8b2b7949", "column": 4 }
#       ]
#     }
#   ]
# }
"Insectendoos_label";"Insectendoos_toelichting";"Geslacht";"Soort";"Aantal"
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Emus";"hirtus";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Ontholestus";"tesselatus";12
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Ontholestus";"murinus";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Creophilus";"maxillosus";10
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Heterothops";"praevius";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Heterothops";"niger";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Heterothops";"dissimilis";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Velleius";"dilatatus";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"brevis";2
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"ventralis";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"lateralis";4
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"longicornis";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"ochripennis";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"nigrocoeruleus";6
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"puncticollis";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"fulgidus";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"cruentus";4
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"brevicornis";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"mesomelinus";6
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Microsaurus";"scitus";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedionuchus";"cinctus";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedius";"fulginosus";14
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedius";"curtipennis";2
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedius";"tristis";3
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedius";"picipennis";13
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Quedius";"pallipes";2
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Raphirus";"picipes";2
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Raphirus";"nigriceps";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Raphirus";"humeralis";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Raphirus";"maurorufus";1
"15-09: 17.10.13L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 12";"Raphirus";"nemoralis";1
;;;;
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Raphirus";"scintillans";1
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Raphirus";"rufipes";2
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Raphirus";"semiaeneus";1
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Raphirus";"attenuatus";1
